instancia_label,instancia_id,n_cursos,rep,seed,checkpoint,utilidad_mejor,tiempo_total_s
C,instancia_C,35,3,93,10,81.0,0.335
C,instancia_C,35,3,93,25,81.0,0.335
C,instancia_C,35,3,93,50,81.0,0.335
C,instancia_C,35,3,93,100,81.0,0.335
C,instancia_C,35,3,93,200,81.0,0.335
C,instancia_C,35,3,93,350,81.0,0.335
C,instancia_C,35,3,93,500,81.0,0.335
C,instancia_C,35,3,93,750,81.0,0.335
C,instancia_C,35,3,93,1000,81.0,0.335
C,instancia_C,35,3,93,1500,81.0,0.335
C,instancia_C,35,3,93,2000,81.0,0.335
C,instancia_C,35,3,93,3000,81.0,0.335
C,instancia_C,35,3,93,4000,81.0,0.335
C,instancia_C,35,3,93,5000,81.0,0.335
